ObjectID,Volume_um3,SurfaceArea_um2,EquivalentDiameter_um,Sphericity,MajorAxisLength_um,IntermediateAxisLength_um,MinorAxisLength_um,Elongation,Flatness,BoundingBoxX_um,BoundingBoxY_um,BoundingBoxZ_um,CentroidX_um,CentroidY_um,CentroidZ_um,SomaVolume_um3,SomaCellVolumeRatio,NumberOfSomas,PossibleMerged
29,212.121393411144,444.105810357944,7.39937917583971,0.387305784648012,17.7078546719784,12.0147844534918,5.6402136692704,1.47383873098381,2.13020022963882,9.45580521891433,10.839581592414,18,63.3255809867667,169.201013180137,22.3500501504514,0,0,0,0
30,201.483409789723,408.244793828943,7.27355772546935,0.407120524537108,31.1420775421586,8.94127088875688,4.46308751688155,3.48295873479439,2.00338237933643,8.53328763658123,11.9927285703304,32,149.281025596702,215.931703236026,34.8616684266104,0,0,0,0
31,207.759820126361,414.888606560523,7.34831298957737,0.408877917743941,18.7868361978279,12.4472928859689,5.14557493571237,1.50931101002734,2.41902859087324,11.3008403835805,6.22699368074846,20,202.85620784183,35.598763156967,25.7716333845366,0,0,0,0
32,1078.3723997035,2175.61957889192,12.7230152335994,0.233747518247946,45.6478727593181,43.0216951715444,17.1741616019502,1.06104309877382,2.50502447622591,17.7584634599123,42.8970675784894,44,211.836410149745,26.9402071518269,48.1803294860412,0,0,0,0
33,220.312640799639,489.471622291918,7.49342326986746,0.360398424564197,23.5848971005661,11.0966865549227,7.25721009460174,2.12539995464713,1.52905681525975,8.30265824099795,12.4539873614969,26,108.171979572077,76.8920186656551,34.061805890874,0,0,0,0
34,1518.57216195792,2590.98358967069,14.2608563085057,0.246590543782621,41.2553927373923,41.125061628495,19.610714825399,1.00316914075594,2.09707101422083,38.5151090624072,29.9818214258259,42,174.621963728799,55.430931068306,47.9959369527145,0,0,0,0
35,340.096336376845,669.365479058881,8.66033005452601,0.352010363215826,34.3550215548321,14.0600315362396,6.92287376538939,2.44345266696467,2.03095304243913,19.3728692289952,7.8413994498314,34,135.496393039801,62.4841905781704,32.6387238035658,0,0,0,0
36,416.157919270008,728.779026673495,9.26303234157101,0.369879590162324,21.9630123307136,13.5181957020575,11.7328144679795,1.62469998325077,1.15216990253708,10.1476934056642,21.2179043936614,16,190.819708070559,216.508120405703,29.2050102249489,0,0,0,0
37,310.841881417936,530.442416726332,8.40453394392984,0.418349157502273,20.1719174294524,15.0392077384912,6.31354850463165,1.34128856919933,2.38205309224414,6.91888186749829,19.3728692289952,18,87.2397915599572,125.322450773494,35.5037645448323,0,0,0,0
38,369.244411499539,548.936046503578,8.90099252319701,0.453424512773028,18.2455490947939,16.7426037355228,8.94939271499878,1.08976771970552,1.87080892175656,15.6827988996628,8.07202884541467,20,166.173695423125,230.956901285043,36.9063670411985,0,0,0,0
